nm,T
1672,0.92006814
1671,0.92011195
1670,0.92018365
1669,0.92021802
1668,0.92013974
1667,0.92006053
1666,0.91999414
1665,0.92001962
1664,0.92014219
1663,0.92024485
1662,0.9202102
1661,0.92025524
1660,0.92046874
1659,0.92055241
1658,0.92041412
1657,0.92057867
1656,0.92066642
1655,0.92073036
1654,0.92092772
1653,0.92090126
1652,0.92089855
1651,0.92094539
1650,0.92120573
1649,0.92135927
1648,0.92134718
1647,0.9212389
1646,0.92141732
1645,0.92158139
1644,0.92152073
1643,0.92140641
1642,0.92132534
1641,0.92145741
1640,0.92162917
1639,0.92169142
1638,0.92145647
1637,0.92156695
1636,0.92194112
1635,0.92204757
1634,0.92189274
1633,0.9216037
1632,0.92157094
1631,0.92184028
1630,0.92204274
1629,0.92220861
1628,0.92228939
1627,0.92217265
1626,0.92222431
1625,0.92228682
1624,0.92220845
1623,0.92224698
1622,0.92228518
1621,0.92227051
1620,0.92239447
1619,0.92253293
1618,0.92267872
1617,0.92278056
1616,0.92259599
1615,0.92262132
1614,0.92275963
1613,0.92277934
1612,0.92273365
1611,0.92254131
1610,0.92260179
1609,0.92264789
1608,0.92264018
1607,0.92262865
1606,0.92272381
1605,0.92287464
1604,0.92294218
1603,0.9230505
1602,0.92313362
1601,0.92319056
1600,0.92320654
1599,0.92325496
1598,0.92322066
1597,0.92324457
1596,0.92315344
1595,0.92293612
1594,0.92306159
1593,0.9233026
1592,0.92333103
1591,0.92325112
1590,0.92366078
1589,0.92376472
1588,0.92368638
1587,0.92367111
1586,0.92354693
1585,0.92345547
1584,0.92361534
1583,0.92365184
1582,0.92379719
1581,0.9239532
1580,0.92379373
1579,0.92405951
1578,0.92429318
1577,0.92398325
1576,0.92416275
1575,0.92426443
1574,0.92413947
1573,0.92388266
1572,0.92412761
1571,0.92413828
1570,0.92428219
1569,0.92417275
1568,0.92418629
1567,0.92423524
1566,0.92431345
1565,0.92433807
1564,0.92415272
1563,0.92415875
1562,0.92411203
1561,0.92436815
1560,0.92423369
1559,0.92423104
1558,0.92447927
1557,0.92450714
1556,0.92437001
1555,0.92436471
1554,0.92447338
1553,0.92438658
1552,0.92424328
1551,0.92449054
1550,0.92465198
1549,0.92450716
1548,0.92475466
1547,0.9246165
1546,0.92454266
1545,0.92446054
1544,0.92453894
1543,0.92441508
1542,0.92427802
1541,0.92467668
1540,0.92495555
1539,0.92494631
1538,0.92473309
1537,0.92457331
1536,0.92450567
1535,0.92454313
1534,0.92449059
1533,0.92457862
1532,0.92461274
1531,0.92471501
1530,0.92476557
1529,0.92493592
1528,0.92484298
1527,0.92474916
1526,0.92474052
1525,0.92461388
1524,0.92446533
1523,0.92459218
1522,0.92465717
1521,0.92512007
1520,0.92527934
1519,0.92461263
1518,0.92477493
1517,0.92484865
1516,0.92490863
1515,0.92466654
1514,0.92488207
1513,0.92475244
1512,0.92448647
1511,0.92474467
1510,0.92490674
1509,0.92485867
1508,0.92473146
1507,0.92464877
1506,0.92477436
1505,0.92470138
1504,0.92514569
1503,0.92500624
1502,0.92451156
1501,0.92455134
1500,0.92463286
1499,0.92503426
1498,0.92462844
1497,0.92463664
1496,0.92462915
1495,0.92453748
1494,0.92449957
1493,0.92447102
1492,0.92418702
1491,0.92432759
1490,0.92453344
1489,0.92453925
1488,0.92446386
1487,0.92446948
1486,0.92449734
1485,0.92416805
1484,0.92447354
1483,0.92440731
1482,0.92432339
1481,0.92418862
1480,0.92432603
1479,0.92446266
1478,0.92419401
1477,0.92433503
1476,0.92408088
1475,0.92425478
1474,0.924308
1473,0.92401149
1472,0.92408187
1471,0.92423608
1470,0.9238151
1469,0.92399668
1468,0.92383477
1467,0.92374941
1466,0.92377536
1465,0.92370781
1464,0.92352687
1463,0.92328062
1462,0.92357348
1461,0.92319939
1460,0.92313314
1459,0.92294378
1458,0.92283361
1457,0.92316408
1456,0.92309628
1455,0.92278969
1454,0.92284025
1453,0.92301507
1452,0.92260686
1451,0.92283063
1450,0.9226266
1449,0.92241233
1448,0.92256341
1447,0.92186254
1446,0.92185782
1445,0.92166034
1444,0.92176942
1443,0.92132986
1442,0.92133631
1441,0.92147505
1440,0.92098668
1439,0.9205373
1438,0.92020555
1437,0.92024869
1436,0.92005109
1435,0.9197026
1434,0.91944288
1433,0.91942219
1432,0.91905288
1431,0.91858569
1430,0.91825836
1429,0.91780722
1428,0.91754776
1427,0.91736158
1426,0.91702011
1425,0.91664787
1424,0.91617827
1423,0.91567512
1422,0.91488045
1421,0.91426899
1420,0.91392931
1419,0.91370449
1418,0.91319334
1417,0.91282777
1416,0.91239757
1415,0.9120489
1414,0.91148529
1413,0.91114235
1412,0.91062356
1411,0.91010892
1410,0.90963994
1409,0.90973251
1408,0.90959344
1407,0.90919285
1406,0.90929553
1405,0.90945438
1404,0.90965949
1403,0.90976875
1402,0.91015951
1401,0.91053376
1400,0.91190623
1399,0.91131988
1398,0.91160577
1397,0.91291256
1396,0.91393536
1395,0.91551784
1394,0.91569593
1393,0.91617024
1392,0.9171079
1391,0.9182223
1390,0.91918105
1389,0.92002272
1388,0.92105244
1387,0.9218289
1386,0.92233221
1385,0.92246379
1384,0.92336621
1383,0.92361926
1382,0.92518141
1381,0.92616062
1380,0.92505545
1379,0.92463813
1378,0.92554714
1377,0.92505246
1376,0.92566277
1375,0.92665089
1374,0.92650995
1373,0.92666428
1372,0.92680724
1371,0.92681959
1370,0.92668288
1369,0.92652612
1368,0.92696592
1367,0.92693993
1366,0.92702547
1365,0.92720648
1364,0.92728387
1363,0.92742731
1362,0.9272145
1361,0.92701609
1360,0.92685415
1359,0.92708168
1358,0.92712548
1357,0.92709507
1356,0.92704629
1355,0.92720564
1354,0.92738976
1353,0.92761096
1352,0.92711109
1351,0.92698376
1350,0.92665113
1349,0.9270222
1348,0.92720712
1347,0.92732553
1346,0.92756274
1345,0.92775524
1344,0.92731524
1343,0.9273021
1342,0.92728108
1341,0.92721909
1340,0.92730769
1339,0.9275122
1338,0.92740689
1337,0.92732215
1336,0.92746441
1335,0.92745117
1334,0.92731348
1333,0.92727578
1332,0.92734402
1331,0.927331
1330,0.92723276
1329,0.92722211
1328,0.92753131
1327,0.92753938
1326,0.92732613
1325,0.92713079
1324,0.92719198
1323,0.92737587
1322,0.92748953
1321,0.9275593
1320,0.92751924
1319,0.92748998
1318,0.92752145
1317,0.92752087
1316,0.92751008
1315,0.92752986
1314,0.9276538
1313,0.92752783
1312,0.92757836
1311,0.9277615
1310,0.92755818
1309,0.92746512
1308,0.92758445
1307,0.9277489
1306,0.92762762
1305,0.92744104
1304,0.92764474
1303,0.92782641
1302,0.92782426
1301,0.92797226
1300,0.92787567
1299,0.92780754
1298,0.92790484
1297,0.92774923
1296,0.92766204
1295,0.92767556
1294,0.9276799
1293,0.92775948
1292,0.92790806
1291,0.92806067
1290,0.92789314
1289,0.92768745
1288,0.92749715
1287,0.92758143
1286,0.92771994
1285,0.9276467
1284,0.92744968
1283,0.92753407
1282,0.92759261
1281,0.92745026
1280,0.92746916
1279,0.92757865
1278,0.92765216
1277,0.92774071
1276,0.92754686
1275,0.92742911
1274,0.92750613
1273,0.92746994
1272,0.92742977
1271,0.92742673
1270,0.92755723
1269,0.92766407
1268,0.92771667
1267,0.92771257
1266,0.92758431
1265,0.9275511
1264,0.92769685
1263,0.92768924
1262,0.92759018
1261,0.92755018
1260,0.92776495
1259,0.92762431
1258,0.92720343
1257,0.92704448
1256,0.92718345
1255,0.92730628
1254,0.92741294
1253,0.92756434
1252,0.92745248
1251,0.92740696
1250,0.92722951
1249,0.92697865
1248,0.9271289
1247,0.9273442
1246,0.92740448
1245,0.92754767
1244,0.92753132
1243,0.92754059
1242,0.92767767
1241,0.92739403
1240,0.92752633
1239,0.92758723
1238,0.92738786
1237,0.9273608
1236,0.92735971
1235,0.92731013
1234,0.92743225
1233,0.92742039
1232,0.92740946
1231,0.92740523
1230,0.9273994
1229,0.92738798
1228,0.92761908
1227,0.92745134
1226,0.92731986
1225,0.92720399
1224,0.92738468
1223,0.92752722
1222,0.92736699
1221,0.92732882
1220,0.92749829
1219,0.92739099
1218,0.92738856
1217,0.92724072
1216,0.92724482
1215,0.92718206
1214,0.92723428
1213,0.927389
1212,0.92731991
1211,0.92728392
1210,0.92731417
1209,0.92737119
1208,0.92726363
1207,0.92734869
