nm,R
4285.27,0.992185
4292.99,0.9942431
4300.71,0.9943794
4308.44,0.9949
4316.16,0.9933331
4323.88,0.9941537
4331.6,0.9927487
4339.32,0.9914837
4347.04,0.9906787
4354.76,0.9899137
4362.48,0.9892837
4370.21,0.9887087
4377.93,0.9883187
4385.65,0.9883637
4393.37,0.9883837
4401.09,0.9884537
4408.81,0.9884837
4416.53,0.9884037
4424.25,0.9882887
4431.98,0.9881187
4439.7,0.9879987
4447.42,0.9879287
4455.14,0.9878987
4462.86,0.9878937
4470.58,0.9878787
4478.3,0.9878687
4486.02,0.9878837
4493.75,0.9879237
4501.47,0.9879887
4509.19,0.9879937
4516.91,0.9880287
4524.63,0.9880187
4532.35,0.9879837
4540.07,0.9880037
4547.79,0.9879787
4555.51,0.9878987
4563.24,0.9878787
4570.96,0.9878537
4578.68,0.9878337
4586.4,0.9878487
4594.12,0.9878887
4601.84,0.9878287
4609.56,0.9877687
4617.28,0.9877887
4625.01,0.9878887
4632.73,0.9879487
4640.45,0.9879437
4648.17,0.9879137
4655.89,0.9879137
4663.61,0.9879187
4671.33,0.9879587
4679.05,0.9879687
4686.78,0.9878887
4694.5,0.9879237
4702.22,0.9879987
4709.94,0.9879037
4717.66,0.9877837
4725.38,0.9877437
4733.1,0.9877387
4740.82,0.9877087
4748.55,0.9876287
4756.27,0.9875737
4763.99,0.9876037
4771.71,0.9876287
4779.43,0.9876237
4787.15,0.9876387
4794.87,0.9876587
4802.59,0.9876787
4810.31,0.9876587
4818.04,0.9876187
4825.76,0.9875187
4833.48,0.9874637
4841.2,0.9874837
4848.92,0.9874037
4856.64,0.9872787
4864.36,0.9871787
4872.08,0.9871237
4879.81,0.9870687
4887.53,0.9869537
4895.25,0.9868137
4902.97,0.9867687
4910.69,0.9868087
4918.41,0.9867837
4926.13,0.9866887
4933.85,0.9866437
4941.58,0.9866537
4949.3,0.9866487
4957.02,0.9865487
4964.74,0.9864387
4972.46,0.9864237
4980.18,0.9864437
4987.9,0.9864237
4995.62,0.9863387
5003.35,0.9862837
5011.07,0.9862587
5018.79,0.9861337
5026.51,0.9859687
5034.23,0.9859937
5041.95,0.9860387
5049.67,0.9859687
5057.39,0.9859087
5065.11,0.9859137
5072.84,0.9859237
5080.56,0.9858367
5088.28,0.9857512
5096,0.9857802
5103.72,0.9857632
5111.44,0.9857672
5119.16,0.9857432
5126.88,0.9856917
5134.61,0.9856662
5142.33,0.9856077
5150.05,0.9854537
5157.77,0.9855077
5165.49,0.9856337
5173.21,0.9855767
5180.93,0.9855447
5188.65,0.9856027
5196.38,0.9855212
5204.1,0.9853502
5211.82,0.9852342
5219.54,0.9851367
5227.26,0.9852252
5234.98,0.9852257
5242.7,0.9851647
5250.42,0.9852092
5258.14,0.9852287
5265.87,0.9852392
5273.59,0.9851792
5281.31,0.9850332
5289.03,0.9849122
5296.75,0.9847932
5304.47,0.9848572
5312.19,0.9849047
5319.91,0.9848842
5327.64,0.9848527
5335.36,0.9847877
5343.08,0.9846422
5350.8,0.9842302
5358.52,0.9840367
5366.24,0.9843147
5373.96,0.9845117
5381.68,0.9845377
5389.41,0.9845467
5397.13,0.9845512
5404.85,0.9845587
5412.57,0.9845497
5420.29,0.9842982
5428.01,0.9840432
5435.73,0.9842477
5443.45,0.9845037
5451.18,0.9846307
5458.9,0.9846032
5466.62,0.9842977
5474.34,0.9841552
5482.06,0.9842217
5489.78,0.9844422
5497.5,0.9847062
5505.22,0.9847967
5512.94,0.9847537
5520.67,0.9845747
5528.39,0.9844432
5536.11,0.9846452
5543.83,0.9847912
5551.55,0.9846242
5559.27,0.9844672
5566.99,0.9846192
5574.71,0.9846732
5582.44,0.9844292
5590.16,0.9845552
5597.88,0.9848972
5605.6,0.9850407
5613.32,0.9851017
5621.04,0.9852137
5628.76,0.9853717
5636.48,0.9852862
5644.21,0.9847512
5651.93,0.9845927
5659.65,0.9849757
5667.37,0.9854082
5675.09,0.9854292
5682.81,0.9852912
5690.53,0.9853367
5698.25,0.9855037
5705.98,0.9854757
