nm,T
870,0.93956578
871,0.93968621
872,0.9398332
873,0.93938816
874,0.93952135
875,0.93955271
876,0.93941331
877,0.93956137
878,0.93980248
879,0.93995994
880,0.93962577
881,0.93945345
882,0.93966
883,0.93983942
884,0.93984185
885,0.93984425
886,0.93964817
887,0.93965261
888,0.93961287
889,0.93993924
890,0.93988571
891,0.93993871
892,0.9398624
893,0.93962205
894,0.9397623
895,0.93940155
896,0.94024168
897,0.93991186
898,0.93957106
899,0.93964175
900,0.93973555
901,0.93942306
902,0.93934859
903,0.93973596
904,0.93985143
905,0.93990708
906,0.93979867
907,0.9395204
908,0.93994754
909,0.9395243
910,0.93951664
911,0.94001361
912,0.93973836
913,0.93972285
914,0.93954058
915,0.93984483
916,0.93935948
917,0.93922661
918,0.93958791
919,0.9397205
920,0.9401067
921,0.93982777
922,0.93946825
923,0.93930564
924,0.93972231
925,0.93999611
926,0.93972455
927,0.94008896
928,0.93980556
929,0.93969618
930,0.93982111
931,0.94007843
932,0.93984396
933,0.94033658
934,0.93982362
935,0.94002823
936,0.93957277
937,0.93988533
938,0.93966988
939,0.93951958
940,0.93961925
941,0.93998313
942,0.939937
943,0.93999414
944,0.93983908
945,0.94012685
946,0.93963751
947,0.94015913
948,0.9402476
949,0.94006688
950,0.94002439
951,0.94022398
952,0.94015856
953,0.93997046
954,0.93982572
955,0.9400388
956,0.93988054
957,0.93968101
958,0.9398574
959,0.93986666
960,0.9394981
961,0.94000192
962,0.94002358
963,0.93947793
964,0.93971519
965,0.93989293
966,0.93956531
967,0.93998439
968,0.94005757
969,0.93971166
970,0.93982878
971,0.93962761
972,0.93946735
973,0.9398294
974,0.93958124
975,0.93988744
976,0.93973341
977,0.93963231
978,0.93950837
979,0.93959334
980,0.93954329
981,0.93986268
982,0.93955291
983,0.93978486
984,0.93993517
985,0.93979945
986,0.93965017
987,0.94001907
988,0.93982397
989,0.9398837
990,0.93968553
991,0.93988593
992,0.93994145
993,0.93998003
994,0.93986201
995,0.94010874
996,0.94007853
997,0.93979908
998,0.93975073
999,0.93984008
1000,0.938621459
1001,0.93863396
1002,0.938646418
1003,0.938658835
1004,0.938671211
1005,0.938683545
1006,0.938695838
1007,0.93870809
1008,0.938720301
1009,0.938732471
1010,0.9387446
1011,0.938756689
1012,0.938768736
1013,0.938780743
1014,0.93879271
1015,0.938804636
1016,0.938816521
1017,0.938828366
1018,0.938840172
1019,0.938851937
1020,0.938863661
1021,0.938875346
1022,0.938886992
1023,0.938898597
1024,0.938910162
1025,0.938921688
1026,0.938933175
1027,0.938944622
1028,0.938956029
1029,0.938967398
1030,0.938978727
1031,0.938990017
1032,0.939001268
1033,0.93901248
1034,0.939023653
1035,0.939034787
1036,0.939045883
1037,0.93905694
1038,0.939067958
1039,0.939078938
1040,0.939089879
1041,0.939100783
1042,0.939111647
1043,0.939122474
1044,0.939133263
1045,0.939144014
1046,0.939154727
1047,0.939165402
1048,0.939176039
1049,0.939186639
1050,0.939197201
1051,0.939207725
1052,0.939218213
1053,0.939228662
1054,0.939239075
1055,0.93924945
1056,0.939259789
1057,0.93927009
1058,0.939280354
1059,0.939290582
1060,0.939300772
1061,0.939310926
1062,0.939321044
1063,0.939331125
1064,0.939341169
1065,0.939351177
1066,0.939361149
1067,0.939371084
1068,0.939380983
1069,0.939390847
1070,0.939400674
1071,0.939410465
1072,0.939420221
1073,0.939429941
1074,0.939439625
1075,0.939449273
1076,0.939458886
1077,0.939468464
1078,0.939478006
1079,0.939487513
1080,0.939496985
