nm,R
13293.89,0.9776748
13303.83,0.9777408
13313.76,0.9778063
13323.68,0.9778711
13333.61,0.9779352
13343.53,0.9779988
13353.44,0.9780617
13363.97,0.9781279
13373.88,0.9781895
13383.78,0.9782505
13393.68,0.9783109
13403.57,0.9783706
13413.46,0.9784297
13423.35,0.9784881
13433.85,0.9785495
13443.72,0.9786066
13453.6,0.9786631
13463.46,0.9787189
13473.33,0.978774
13483.8,0.9788319
13493.66,0.9788856
13503.51,0.9789388
13513.36,0.9789912
13523.82,0.9790462
13533.66,0.9790973
13543.49,0.9791477
13553.32,0.9791974
13563.76,0.9792495
13573.58,0.9792979
