nm,T
826,0.8648158
827,0.8650465
828,0.8649192
829,0.8649841
830,0.8653038
831,0.8649651
832,0.8650029
833,0.8656023
834,0.8654301
835,0.8655414
836,0.8655632
837,0.8651536
838,0.8651632
839,0.86549
840,0.8652481
841,0.8654273
842,0.8657081
843,0.8656852
844,0.8658064
845,0.8654888
846,0.8649241
847,0.8649493
848,0.8652295
849,0.8655031
850,0.8661067
851,0.8658481
852,0.8650986
853,0.8652372
854,0.865353
855,0.8651803
856,0.8653521
857,0.8652397
858,0.865805
859,0.8652146
860,0.8674816
861,0.8711106
862,0.8707824
863,0.870832
864,0.8710834
865,0.8712011
866,0.8710325
867,0.8712325
868,0.8711387
869,0.8709001
870,0.871068
871,0.8710315
872,0.8709391
873,0.8710069
874,0.8710946
875,0.8711102
876,0.8711285
877,0.8710865
878,0.8710683
879,0.871094
880,0.8712269
881,0.8712756
882,0.8712323
883,0.87132
884,0.8715677
885,0.8713742
886,0.8710358
887,0.8712883
888,0.8715142
889,0.8713948
890,0.8713149
891,0.8714521
892,0.8715123
893,0.8714161
894,0.8713906
895,0.8715208
896,0.8718664
897,0.871974
898,0.8716867
899,0.8714974
900,0.8715988
901,0.8718227
902,0.8718094
903,0.8718195
904,0.8717799
905,0.8717231
906,0.8718143
907,0.8717938
908,0.8717874
909,0.8718984
910,0.8719549
911,0.8718675
912,0.8718841
913,0.8718442
914,0.8718499
915,0.871845
916,0.8719503
917,0.8719715
918,0.8719144
919,0.8719443
920,0.8718741
921,0.8718545
922,0.8719624
923,0.8719972
924,0.8718207
925,0.871827
926,0.8720361
927,0.8721053
928,0.8721788
929,0.8721603
930,0.872159
931,0.8721291
932,0.8721696
933,0.8721419
934,0.8721002
935,0.8721619
936,0.8722656
937,0.8722789
938,0.8723774
939,0.8724571
940,0.8723974
941,0.8722704
942,0.8724045
943,0.872496
944,0.8724115
945,0.8724381
946,0.8721916
947,0.8722538
948,0.8722424
949,0.8723855
950,0.8724166
951,0.8724236
952,0.8724441
953,0.8724108
954,0.8724006
955,0.8726253
956,0.8726691
957,0.8726578
958,0.8725713
959,0.872579
960,0.8725348
961,0.872547
962,0.8724264
963,0.8723685
964,0.8723896
965,0.8724587
966,0.8724993
967,0.8727322
968,0.8726689
969,0.8725019
970,0.8724486
971,0.8724549
972,0.8724736
973,0.872614
974,0.8726606
975,0.8728622
976,0.8727016
977,0.8726124
978,0.8724091
979,0.8727214
980,0.8726061
981,0.872533
982,0.8723397
983,0.8725032
984,0.8726215
985,0.8726192
986,0.8727099
987,0.8725412
988,0.8724957
989,0.8726677
990,0.8728808
991,0.872747
992,0.8729877
993,0.8727949
994,0.87269
995,0.8725223
996,0.872636
997,0.8725149
998,0.8726246
999,0.8726794
1000,0.8727585
1001,0.8727592
1002,0.8728961
1003,0.8728117
1004,0.8726429
1005,0.872752
1006,0.8726256
1007,0.8726922
1008,0.8723457
1009,0.8727335
1010,0.8726677
1011,0.8728764
1012,0.8727859
1013,0.8728844
1014,0.8726248
1015,0.8728655
1016,0.8727081
1017,0.8726672
1018,0.8726614
1019,0.8726468
1020,0.8725316
